,44004,44004,44008,44008,44009,44009,44011,44011,44013,44013,44014,44014,44017,44017,44018,44018,44027,44027
,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon,dlat,dlon
44004,0,0,-2.012,1.183,0.024,-4.259,-2.609,3.781,-3.862,-0.218,1.881,-4.404,-2.209,-1.616,-3.719,0.279,-5.799,3.133
44008,2.012,-1.183,0,0,2.036,-5.442,-0.597,2.598,-1.85,-1.401,3.893,-5.587,-0.197,-2.799,-1.707,-0.904,-3.787,1.95
44009,-0.024,4.259,-2.036,5.442,0,0,-2.633,8.04,-3.886,4.041,1.857,-0.145,-2.233,2.643,-3.743,4.538,-5.823,7.392
44011,2.609,-3.781,0.597,-2.598,2.633,-8.04,0,0,-1.253,-3.999,4.49,-8.185,0.4,-5.397,-1.11,-3.502,-3.19,-0.648
44013,3.862,0.218,1.85,1.401,3.886,-4.041,1.253,3.999,0,0,5.743,-4.186,1.653,-1.398,0.143,0.497,-1.937,3.351
44014,-1.881,4.404,-3.893,5.587,-1.857,0.145,-4.49,8.185,-5.743,4.186,0,0,-4.09,2.788,-5.6,4.683,-7.68,7.537
44017,2.209,1.616,0.197,2.799,2.233,-2.643,-0.4,5.397,-1.653,1.398,4.09,-2.788,0,0,-1.51,1.895,-3.59,4.749
44018,3.719,-0.279,1.707,0.904,3.743,-4.538,1.11,3.502,-0.143,-0.497,5.6,-4.683,1.51,-1.895,0,0,-2.08,2.854
44027,5.799,-3.133,3.787,-1.95,5.823,-7.392,3.19,0.648,1.937,-3.351,7.68,-7.537,3.59,-4.749,2.08,-2.854,0,0
